Designator,Footprint,Quantity,Value,LCSC Part #
D1,D_DO-41_SOD81_P7.62mm_Horizontal,1,1N5819,
"D10, D8",D_DO-34_SOD68_P7.62mm_Horizontal,2,D_Small,
D11,D_DO-35_SOD27_P7.62mm_Horizontal,1,BAV21,
"D12, D6",D_DO-35_SOD27_P7.62mm_Horizontal,2,D_Small,
D13,D_DO-41_SOD81_P7.62mm_Horizontal,1,1N4732,
"D14, D16, D18, D2, D20, D22, D24, D4",D_DO-41_SOD81_P7.62mm_Horizontal,8,D_Small,
D15,D_DO-41_SOD81_P7.62mm_Horizontal,1,1N4739,
D17,D_DO-41_SOD81_P7.62mm_Horizontal,1,1N4742,
D19,D_DO-41_SOD81_P7.62mm_Horizontal,1,1N4746,
D21,D_DO-41_SOD81_P7.62mm_Horizontal,1,1N4001,
D23,D_DO-41_SOD81_P7.62mm_Horizontal,1,1N4007,
D3,D_DO-41_SOD81_P7.62mm_Horizontal,1,1N5817,
D5,D_DO-35_SOD27_P7.62mm_Horizontal,1,BAT46,
D7,D_DO-34_SOD68_P7.62mm_Horizontal,1,BAT41,
D9,D_DO-34_SOD68_P7.62mm_Horizontal,1,1N4148,
J1,PinHeader_1x02_P2.54mm_Vertical,1,1N5819,
"J10, J11, J12, J2, J3, J4, J5, J6, J7, J8, J9",PinHeader_1x02_P2.54mm_Vertical,11,Conn_01x02_Pin,
X1,1x02_Wire_P5.08,1,Conn_01x02_Pin,
