Designator,Mid X,Mid Y,Rotation,Layer
D1,-59.69,10.16,180.0,top
D10,-36.83,53.34,180.0,top
D11,-36.83,48.259999,0.0,top
D12,-36.83,45.72,180.0,top
D13,-59.69,27.940001,180.0,top
D14,-59.69,31.750001,0.0,top
D15,-59.69,36.830001,180.0,top
D16,-59.69,40.640001,0.0,top
D17,-36.83,40.64,0.0,top
D18,-36.83,36.83,180.0,top
D19,-36.83,31.75,0.0,top
D2,-59.69,13.97,0.0,top
D20,-36.83,27.94,180.0,top
D21,-36.83,22.86,0.0,top
D22,-36.83,19.05,180.0,top
D23,-36.83,13.97,0.0,top
D24,-36.83,10.16,180.0,top
D3,-59.69,19.05,180.0,top
D4,-59.69,22.86,0.0,top
D5,-59.69,45.720001,180.0,top
D6,-59.69,48.26,0.0,top
D7,-59.69,53.34,180.0,top
D8,-59.69,55.88,0.0,top
D9,-36.83,55.88,0.0,top
J1,-50.8,12.065,0.0,top
J10,-45.72,29.845,0.0,top
J11,-45.72,20.955,0.0,top
J12,-45.72,12.065,0.0,top
J2,-50.8,20.955,0.0,top
J3,-50.8,46.99,0.0,top
J4,-50.8,54.61,0.0,top
J5,-45.72,54.61,0.0,top
J6,-45.72,46.99,0.0,top
J7,-50.8,29.845,0.0,top
J8,-50.8,38.735,0.0,top
J9,-45.72,38.735,0.0,top
X1,-48.26,5.08,0.0,top
